,Unnamed: 0,advancement,height,hm_x,hm_y,images,label,out_0,out_1,prediction
29746,549.0,0.20055392596427635,10.0,128.33450773255595,115.19927964505014,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-0.png,True,0.99821824,0.0017817256,0
35870,550.0,0.2010801123211387,10.0,373.7183303240913,68.4632600549834,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-1.png,True,1.0,0.0,0
35834,514.0,0.2014357789198465,10.0,376.1939469298657,68.95417436255968,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-2.png,True,1.0,0.0,0
35841,521.0,0.20265505440005305,10.0,376.1086539809141,68.81728084581985,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-3.png,True,1.0,0.0,0
36067,747.0,0.20380321124832002,10.0,370.920320411913,57.55012457132245,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-4.png,True,1.0,0.0,0
15091,14.0,0.20499910992376896,10.0,856.2138480990175,1458.669578760267,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-5.png,True,0.9656464,0.03435354,0
4036,201.0,0.2061142565166187,10.0,337.76002110833537,1273.5495119865182,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-6.png,True,0.53401047,0.46598956,0
35835,515.0,0.2067523657530416,10.0,376.2771851753298,69.07154853394319,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-7.png,True,1.0,0.0,0
35840,520.0,0.20704960171861764,10.0,376.17138652469237,68.88266572115475,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-8.png,True,1.0,0.0,0
15092,15.0,0.2073961634309018,10.0,856.4155824489957,1458.6384589278086,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-9.png,True,0.9203191,0.07968097,0
35837,517.0,0.20773079735153366,10.0,376.3527815923983,69.05522725178068,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-10.png,True,1.0,0.0,0
24744,122.0,0.2085170567654596,10.0,1362.4395235856905,217.73553342972508,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_positive/20-patch-3d-majavi-colormap-11.png,True,1.0,0.0,0
